基聲旁,後期韵部,上古前後演變,上古後期魯曹雅言,聲母,等,開合,韻母,聲調,反切,廣通中古拼音,南京官話拼音,字,略註
一,質,,høt,影,三,開,質A,入,於悉,qit,i5,一弌,同壹
丿|乀,質,,pʰøt,滂,三,開,質A,入,譬吉,phit,pi5,匹𠯔䏘,
丿|乀,質,,pʰˤøt,滂,四,開,屑,入,普蔑,phiet,pie5,丿,
丿|乀,物,,pʰət,滂,三,合,物,入,敷勿,phüët,fu5,乀,字鏡：敷物反，右戻也
乙,質,,hʀʷˤøt,影,二,合,黠,入,烏八,qwät,ua5,穵,
乙,質,,hʀˤøt,影,二,開,黠,入,烏黠,qrät,ia5,穵䰲軋圠,
乙,月(月0),,hʀˤat,影,二,開,鎋,入,乙鎋,qrat,ia5,劜,中古新造字
乙,質,,hʀøt,影,三,開,質B,入,於筆,qyt,i5,乙鳦,
乙,皮(歌1),,hʀɛlh,影,三,開,之,去,於記,qỳ,i4,䵝,中古新造字
乙,質,,ŋʀøt,疑,三,開,質B,入,魚乙,ngyt,i5,䎲(耴)𦨇,
乙,物,,skʀˤət,莊,二,開,黠,入,側八,tscrät,zha5,札蚻紮𩿤扎,
乙,月(月0),,sgʀˤat,崇,二,開,鎋,入,査鎋,dzcrat,zha5,㳐,
乙,脂,,ʀˤølɣ,來,四,開,齊,上,盧啓,liéi,li3,礼,
乙,微,,ʀˤəlɣ,來,一,開,咍,上,來改,lö́i,lä3,𨦂,
,職,,hək,影,三,開,職,入,於力,qyk,i5,肊,訓臆
乙,物,,ɣʷˤət,匣,一,合,沒,入,戸骨,xuot,hu5,𢪏,
乙,拜(月1),,ɣʷɛt,云,三,合,月,入,王伐,üot,üe5,蚎曰,
乙,物,,kʷˤət,見,一,合,沒,入,古忽,kuot,gu5,汩,
乙,物,,ɣʀʷət,云,三,合,質B,入,于筆,üyt,ü5,汩䫻𡿯,
乙,質,,ɣløt,以,三,開,質A,入,夷質,jit,i5,欥,
乙,物,,ɣlʷət,以,三,合,術,入,餘律,jvit,ü5,欥,
𠄌|亅,質,,xʷøt,曉,三,合,術,入,許聿,hvit,xü5,䎀䬂怴,
𠄌|亅,拜(月1),,xʷɛt,曉,三,合,月,入,許月,hüot,xüe5,䬂泧䎀䟠狘㞽,
𠄌|亅,拜(月1),,ɣʷɛt,云,三,合,月,入,王伐,üot,üe5,泧越1𨒋戉鉞䋐樾𥩡𡛟𣐋𧊎,越粵同
𠄌|亅,月(月0),,xʷˤat,曉,一,合,末,入,呼括,huat,ho5,濊泧奯𤃴眓,
𠄌|亅,月(月0),,hʷˤath,影,一,合,泰,去,烏外,quàj,uei4,濊,
𠄌|亅,月(月0),,xʷˤath,曉,一,合,泰,去,呼會,huàj,huei4,濊𧬨噦1翽鐬,
𠄌|亅,月(月0),,ɣʷˤat,匣,一,合,末,入,戸括,xuat,ho5,越2,
𠄌|亅,拜(月1),,hʷɛt,影,三,合,月,入,於月,qüot,üe5,噦2,
𠄌|亅,拜(月1),,hʀʷɛt,影,三,合,薛B,入,乙劣,qüät,üe5,噦2,
𠄌|亅,拜(月1),,hʷɛth,影,三,合,廢,去,於廢,qüö̀j,uei4,穢薉濊獩饖䮹,
𠄌|亅,月(月0),,kʀʷath,見,三,合,祭B,去,居衛,küèj,guei4,劌,
𠄌|亅,拜(月1),,xʷɛth,曉,三,合,廢,去,許穢,hüö̀j,huei4,顪,
𠄌|亅,月(月0),,sxʷath,心,三,合,祭A,去,相銳,svèj,suei4,歲,
𠄌|亅,拜(月1),,gʷɛt,群,三,合,月,入,其月,güot,jüe5,亅,
𠄌|亅,拜(月1),,kʷɛt,見,三,合,月,入,居月,küot,jüe5,𠄌,
𡿨,真(真0),,kʷˤønɣ,見,四,合,先,上,姑泫,kvén,jüän3,𡿨𤰝甽,
,月(月0),,kʷˤath,見,一,合,泰,去,古外,kuàj,guei4,巜,
𡿨,文,,kʰʷˤən,溪,一,合,魂,平,苦昆,khuon,kuen1,𡿦,𡿦坤同
𡿨,元(元0),,kʰlʷan,昌,三,合,仙A,平,昌緣,tsjhvän,chuang1,川,
𡿨,元(元0),,kʰlʷanh,昌,三,合,仙A,去,尺絹,tsjhvä̀n,chuang4,釧,
𡿨,文,,tʰʀʷən,徹,三,合,諄,平,丑倫,tchüyn,chuen1,䡅,
𡿨,文,,xʷənh,曉,三,合,文,去,許運,hüë̀n,xüin4,訓,
𡿨,文,,hlʷənh,船,三,合,諄,去,食閏,zjvìn,shuen4,順,
𡿨,文,,hlʷən,船,三,合,諄,平,食倫,zjvin,shuen2,㸪紃,
𡿨,文,,sɣʷən,邪,三,合,諄,平,詳遵,zvin,süin2,㸪紃巡馴,
𡿨,元(元0),,kʰˤanɣ,溪,一,開,寒,上,空旱,khán,kang3,侃,
𡿨,元(元0),,kʰˤanh,溪,一,開,寒,去,苦旰,khàn,kang4,侃,
𡿨,見(元1),,kɛn,見,三,開,元,平,居言,kyon,jän1,𩱡,
𡿨,元(元0),,kʰʀan,溪,三,開,仙B,平,去乾,khyän,qän1,愆(𠎝)諐,
𡿨,元(元0),,ɣlanɣ,以,三,開,仙A,上,以淺,jiä́n,iän3,衍𧍢𧊔,
𡿨,元(元0),,ɣlanh,以,三,開,仙A,去,予(于)線,jiä̀n,iän4,衍,
𡿨,真(真0),,ɣlønɣ,以,三,開,真A,上,余忍,jín,in3,𢯼,
𡿨,真(真0),,ɣlønh,以,三,開,真A,去,羊晉,jìn,in4,𢯼,
丁,耕,,tʀˤɛŋ,知,二,開,耕,平,中莖,tcreng,zen1,丁玎朾1𧯫,
丁,耕,,tˤɛŋ,端,四,開,青,平,當經,tieng,din1,丁玎靪䦺虰1仃叮,
丁,耕,,tˤɛŋɣ,端,四,開,青,上,都挺,tiéng,din3,靪頂𩠑奵耵酊葶1,
丁,耕,,tˤɛŋh,端,四,開,青,去,丁定,tièng,din4,釘矴飣𦘭顁,
丁,耕,,tˤɛŋ,端,四,開,青,平,當經,tieng,din1,釘,
丁,耕,,tˤɛŋɣ,端,四,開,青,上,都挺,tiéng,din3,打,
丁,陽,,tʀˤaŋɣ°,端,二,開,庚,上,德冷,trä́ng,zen3,打,中古怪音僅此一字，按律音同盯，滯上古
丁,陽,,dʀˤaŋ,澄,二,開,庚,平,直庚,dcräng,cen2,盯,
丁,陽,,tʀˤaŋɣ,知,二,開,庚,上,張梗,tcrä́ng,zen3,盯,
丁,見(元1),,tʀˤɛnh,知,二,開,山,去,丈莧,dcrä̀n,zhang4,綻,
丁,印(真1),,xlˤøŋɣ,透,四,開,先,上,他典,thién,tiän3,圢町2,町疃雙聲換韻腹，町疃同痶瘓
丁,耕,,tʰˤɛŋɣ,透,四,開,青,上,他鼎,thiéng,tin3,圢町1艼𦉬𤱹,
丁,耕,,tʰˤɛŋ,透,四,開,青,平,他丁,thieng,tin1,訂町1艼𦉬汀1庁,
丁,耕,,dˤɛŋɣ,定,四,開,青,上,徒鼎,diéng,din4,町1訂,
丁,耕,,tˤɛŋh,端,四,開,青,去,丁定,tièng,din4,訂錠,
丁,耕,,dˤɛŋh,定,四,開,青,去,徒徑,dièng,din4,定錠掟,
丁,耕,,tˤɛŋh,端,四,開,青,去,丁定,tièng,din4,定,
丁,耕,,tʰˤɛŋh,透,四,開,青,去,他定,thièng,tin4,忊汀2,
丁,耕,,dˤɛŋ,定,四,開,青,平,特丁,dieng,tin2,停葶2亭聤渟𩹇㼗𧖧楟,
丁,蒸,,dʀəŋh,澄,三,開,蒸,去,丈證,dcỳng,zhen4,𪑬,
丁,耕,,tʀˤɛŋ,知,二,開,耕,平,中莖,tcreng,zen1,䟓,
丁,陽,,tʰʀˤaŋ,徹,二,開,庚,平,丑庚,tchräng,cen1,䟓竀,
丁,耕,,tʰʀɛŋ,徹,三,開,清,平,丑貞,tchiäng,chen1,䟓竀虰2,
丁,蒸,,dʀˤəŋ,澄,二,開,耕,平,宅耕,dcreng,cen2,虰2揨𢾊朾2䁎䆑,
丁,耕,,tɛŋ,章,三,開,清,平,諸盈,tsjiäng,zhen1,正鴊征𨒌𦙫鉦怔䋊眐𧘿佂,
丁,耕,,tɛŋh,章,三,開,清,去,之盛,tsjiä̀ng,zhen4,正鴊政証,
丁,印(真1),,dˤøŋh,定,四,開,先,去,堂練,dièn,diän4,淀,
丁,耕,,tɛŋɣ,章,三,開,清,上,之郢,tsjiä́ng,zhen3,整,
丁,耕,,dɛŋh,常,三,開,清,去,承正,dzjiä̀ng,shen4,盛墭晟,
丁,耕,,dɛŋ,常,三,開,清,平,是征,dzjiäng,chen2,盛䫆成𢦩城誠宬郕筬珹,
,陽,,ɣʀaŋ,群,三,開,庚,平,渠京,gyäng,qin2,䫆,訓項之同源詞
丁,談(談0),,tʀam,知,三,開,鹽B,平,張廉,tcyäm,zhang1,𪏉,中古新造字
丂,幽,,xoɣ,曉,三,開,尤,上,許久,hyú,xou3,朽㱙㽲,
丂,幽,,kʰˤoɣ,溪,一,開,豪,上,苦浩,kháu,kao3,丂,
丂,幽,,kʰˤoɣ,溪,一,開,豪,上,苦浩,kháu,kao3,考攷栲洘,
丂,幽,,kʰʀˤo,溪,二,開,肴,平,口交,khrau,qao1,㤍,
丂,幽,,kʰʀˤoɣ,溪,二,開,肴,上,苦絞,khráu,qao3,巧䲾,
丂,幽,,kʰʀˤoh,溪,二,開,肴,去,苦敎,khràu,qao4,巧,
丂,宵,,ɣʀø,云,三,開,宵B,平,于嬌,yäu,iao2,𨚙鴞,
丂,宵,,ɣʷˤø,匣,一,開,豪,平,胡刀,xau,hao2,號𨚙𣘫,
丂,宵,,ɣʷˤøh,匣,一,開,豪,去,胡倒,xàu,hao4,號号𤩭㙱,
丂,宵,,ɣʷˤøɣ,匣,一,開,豪,上,胡老,xáu,hao4,𧇼,
丂,幽,,xlˤo,透,一,開,豪,平,土刀,thau,tao1,饕,
丂,宵,,xʀø,曉,三,開,宵B,平,許嬌,hyäu,xao1,枵呺,
丂,宵,,ɣløɣ,以,三,開,宵A,上,以沼,jiä́u,iao3,𩨴,中古新造字
